Old URLs,New URLs,Product Name
/birthdaycakes/PEACH-OOLONG-CLASSIC-MINI-CAKE,Customised/Classic-Strawberry-Mini-Shortcake,Peach Oolong Classic Mini Cake
/Classic-Strawberry-Mini-Shortcake,Customised/Classic-Strawberry-Mini-Shortcake,Classic Strawberry Mini Shortcake
/customisedcakes/Demon-Slayer-Kimetsu-No-Yaiba-Fandom-Cake,Customised/Demon-Slayer-Kimetsu-No-Yaiba-Fandom-Cake,Demon Slayer Kimetsu No Yaiba Fandom Cake
/customisedcakes/Pokémon-Toy-Set-Cake-with-Colourful-Balls,Customised/Pokémon-Toy-Set-Cake-with-Colourful-Balls,Pokémon Toy Set Cake with Colourful Balls
/customisedcakes/Poppy-and-Guy-Diamond-Trolls-Birthday-Cake,Customised/Poppy-and-Guy-Diamond-Trolls-Birthday-Cake,Poppy and Guy Diamond Trolls Birthday Cake
/customisedcakes/Tiffany-Blue-Longevity-Cake-2-Shou-Tao-Cherry-Blossoms,Customised/Tiffany-Blue-Longevity-Cake-2-Shou-Tao-Cherry-Blossoms,Pastel Longevity Cake with 2 Shou Tao and Cherry Blossoms
4-mini-classic-cake-bundle,Classic-Cakes/4-mini-classic-cake-bundle,4 Classic Mini Cake
april-fools-day-bento-shit-cake,Customised/april-fools-day-bento-shit-cake,April Fools Day Bento Shit Cake
april-fools-day-shit-cake,Customised/april-fools-day-shit-cake,April Fools Day Shit Cake
assorted-mid-autumn-cakes,Classic-Cakes/assorted-mid-autumn-cakes,Assorted Mid Autumn Cakes
assorted-mini-cupcakes,Classic-Cakes/assorted-mini-cupcakes,Assorted Mini Cupcakes 25s
assorted-mini-cupcakes-25s-corporate,Classic-Cakes/assorted-mini-cupcakes-25s-corporate,Assorted Mini Cupcakes 25S (Corporate)
baby-full-moon-box-a,Classic-Cakes/baby-full-moon-box-a,Baby Full Moon Box A
baby-full-moon-box-b,Classic-Cakes/baby-full-moon-box-b,Baby Full Moon Box B
baby-full-moon-box-c,Classic-Cakes/baby-full-moon-box-c,Baby Full Moon Box C
birthdaycakes/Annyeong-Korean-Bento-Cake,Customised/Annyeong-Korean-Bento-Cake,Annyeong Cute Korean Bento Cake
birthdaycakes/banana-nutella-cake,Classic-Cakes/banana-nutella-cake,Banana Nutella Cake
